domain	role	semantic_field	authoritative_owner	resolver	carrier	consumer	terminal_effect	status	blocker	failure_mode	fallback	release_base_evidence	final_revalidation_evidence	notes
COMPOSITION	CHORD	chord_rhythm_bag	ProfileDefinition.chord	resolveGenerationComposition	GenerationCompositionResult.chordRhythm; ChordRhythmRequest.requestedId	realizeChordRhythm	chord onset and continuation topology	CONNECTED	NONE	invalid request or empty result	transaction preserves upstream synth on failure	src/generation/composition/generation_profile.cpp::resolveGenerationComposition; src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/roles/chord_rhythm.cpp::realizeChordRhythm	NONE	C1 support/weights remain the declared-distance evidence.
COMPOSITION	CHORD	progression_bag	ProfileDefinition.progression	resolveGenerationComposition	GenerationCompositionResult.progression; ChordProgressionRequest.requestedId	realizeChordProgression	ChordProgressionPlan harmonic degrees/qualities	CONNECTED	NONE	invalid request or invalid event count	transaction preserves upstream synth on failure	src/generation/composition/generation_profile.cpp::resolveGenerationComposition; src/generation/roles/chord_progression.cpp::realizeChordProgression; src/generation/tonal/tonal_materializer.cpp::materializeTonalIntent	NONE	Plan is consumed by bass, chord and melodic tonal materialization.
COMPOSITION	MELODIC_SECONDARY	melodic_rhythm_bag	ProfileDefinition.melodic	resolveGenerationComposition	GenerationCompositionResult.melodicRhythm; MelodicMotifRequest.requestedRhythm	realizeMelodicMotif	melodic onset and continuation topology	CONNECTED	NONE	invalid request or empty result	transaction preserves upstream synth on failure	src/generation/composition/generation_profile.cpp::resolveGenerationComposition; src/generation/roles/melodic_motif.cpp::realizeMelodicMotif	NONE	C1 support/weights remain the declared-distance evidence.
COMPOSITION	MELODIC_SECONDARY	motif_shape_bag	ProfileDefinition.motif	resolveGenerationComposition	GenerationCompositionResult.motifShape; MelodicMotifRequest.requestedShape	realizeMelodicMotif; projectLegacyPitchPatternWithOrder	motif source ordering in secondary pattern	CONNECTED	NONE	invalid request or projection failure	transaction preserves upstream synth on failure	src/generation/composition/generation_profile.cpp::resolveGenerationComposition; src/generation/roles/melodic_motif.cpp::realizeMelodicMotif; src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial	NONE	The selected shape affects sourceOrder before projection/adaptation.
PHRASE_EVOLUTION	ALL	profile_phrase_law	ProfileDefinition.phraseLaw	resolveGenerationCompositionForPhraseBars	GenerationCompositionResult.phraseLaw; StrongRhythmMigrationResult.phraseLaw	NONE	NONE	DROPPED	UNKNOWN	selected law is retained but never read by phrase execution	independent rhythm-archetype trajectory policy remains authoritative	src/generation/composition/phrase_length_request.cpp::resolveGenerationCompositionForPhraseBars; src/generation/migration/phrase_execution.cpp::preparePhraseExecution	rg composition.phraseLaw finds no consumer on v0.9.9	Final PHRASE wiring consumes the selected bar count, but not the selected Genre x Recipe evolution law.
PHRASE_LENGTH	ALL	profile_phrase_bars	ProfileDefinition.phraseLaw packed bars	resolveGenerationCompositionForPhraseBars	PhraseLengthAdmissibility; PhraseLengthRequestResult.effectivePhraseBars	preparePhraseExecution; materializePreparedPhraseBar	accepted multi-bar phrase cardinality	PARTIALLY_CONNECTED	NONE	only the P1R PHRASE path requests and consumes profile-admissible lengths	normal one-bar Genre generation still requests phraseBars=1	src/generation/composition/phrase_length_request.cpp::resolveGenerationCompositionForPhraseBars; src/generation/migration/phrase_execution.cpp::preparePhraseExecution	v0.9.9 adds fail-closed profile length admission and per-bar materialization	The profile bar vocabulary is connected for the final PHRASE workflow and not a global default for every generation surface.
PHRASE_LENGTH	ALL	explicit_phrase_length_request	Phrase generation request bars	GeneratedPhraseP1R::prepare	requestedPhraseBars; PhraseLengthRequestResult.effectivePhraseBars	preparePhraseExecution; materializePreparedPhraseBar; applyPreparedPersistent	bounded 1/2/4/8-bar Song phrase	CONNECTED	NONE	unsupported or profile-inadmissible length rejects preparation	no legacy fallback for a failed P1R-capable route	src/dsp/generated_phrase_p1r_materializer.h::prepare; src/generation/migration/phrase_execution.cpp::preparePhraseExecution	v0.9.9 P1R prepare/preflight/commit is fail-closed	This request is filtered through the Genre x Recipe profile; it is distinct from Scene.feel.patternBars.
SECONDARY_ROLE	CHORD_MELODIC	secondary_role	ProfileDefinition.secondaryRole	resolveGenerationComposition; semanticSynthBRole	StrongRhythmMigrationResult.synthBRole	migrateStrongRhythmMaterial role branch	Synth B chord, melodic, or chord-with-fill admission	CONNECTED	NONE	role branch may fail transactionally	upstream Synth B survives on failure	src/generation/composition/generation_profile.cpp::resolveGenerationComposition; src/generation/migration/strong_rhythm_migration.cpp::semanticSynthBRole	NONE	Hybrid explicitly gives chord occupancy priority.
GENERATION_CORRIDOR	TEMPO	suggested_bpm	ProfileDefinition.corridor	generationProfileFor; GenrePage::applyCurrent	requestedBpm; PendingGeneration.bpm	MiniAcid::setBpm	transport tempo when APPLY includes tempo	PARTIALLY_CONNECTED	UNKNOWN	Atlas-backed recipe replaces requested corridor BPM	current tempo when APPLY omits tempo	src/ui/pages/genre_page.cpp::GenrePage::applyCurrent; src/generation/migration/quantized_generation_commit_impl.h::preparePlayingCandidate; src/generation/migration/quantized_generation_undo_owner_impl.h::activatePreparedGenerationRuntime	v0.9.9 retains Atlas override with no corridor arbitration	Non-Atlas path consumes suggestedBpm; six Atlas-backed recipes may replace it.
GENERATION_CORRIDOR	TEMPO	bpm_min_and_max	ProfileDefinition.corridor	generationProfileFor	GenerationProfileView.corridor	NONE	NONE	DECLARED_ONLY	UNKNOWN	no clamp/arbitration consumer found	UI displays bounds only	src/generation/composition/generation_profile.cpp::generationProfileFor; src/ui/pages/genre_page.cpp::GenrePage::draw	UNCHANGED_FROM_C1R	Bounds validate table shape but do not constrain runtime BPM on the final release.
GENERATION_CORRIDOR	ALL	density_min_and_max	ProfileDefinition.corridor	generationProfileFor	GenerationProfileView.corridor	NONE	NONE	DECLARED_ONLY	UNKNOWN	no production density request consumes the values	UI displays values only	src/generation/composition/generation_profile.cpp::generationProfileFor; src/ui/pages/genre_page.cpp::GenrePage::draw	NONE	Do not confuse legacy GenerativeParams note density with this corridor owner.
GENERATION_CORRIDOR	ALL	grid_steps	ProfileDefinition.corridor	generationProfileFor	GenerationProfileView.corridor	NONE	NONE	DECLARED_ONLY	UNKNOWN	no production grid request consumes the value	UI does not expose grid separately	src/generation/composition/generation_profile.cpp::generationProfileFor	NONE	All 33 C1 rows declare 16, but no materializer reads this field.
TEMPO	ALL	minimal_space_atlas_bpm_vs_corridor	AtlasGenerated::Recipe.bpm; ProfileDefinition.corridor	AtlasRuntime::applyRecipe; generationProfileFor	AtlasRuntimeMetadata.bpm; requestedBpm	activatePreparedGenerationRuntime	transport tempo	DUPLICATE_OWNER	UNKNOWN	Atlas 116 replaces requested 86 when tempo is applied	current tempo when tempo apply is disabled	src/generated/atlas_runtime.generated.h::REC_DUB_MINIMAL_SPACE; src/ui/pages/genre_page.cpp::GenrePage::applyCurrent; src/generation/migration/quantized_generation_commit_impl.h::preparePlayingCandidate; src/generation/migration/quantized_generation_undo_owner_impl.h::activatePreparedGenerationRuntime	v0.9.9 contains no corridor/Atlas arbitration contract	DECLARATIVE_POLICY_INCONSISTENCY: Atlas 116 is outside corridor 72-102; no normalization/arbitration contract found.
TONAL_POLICY	BASS	bass_contour_allowed_and_preferred	TonalProfileRow; TonalGenerationProfile.bassPolicy	tonalGenerationProfileFor	BassPitchBehaviorRequest.policy	realizeBassPitchBehavior	bass degree/semitone offsets	CONNECTED	NONE	invalid policy/request	transaction preserves upstream synth on failure	src/generation/composition/tonal_profile.cpp::tonalGenerationProfileFor; src/generation/roles/bass_pitch_behavior.cpp::realizeBassPitchBehavior	NONE	Allowed masks enforce prohibitions; preferred mask replaces allowed mask as selection vocabulary when nonempty.
TONAL_POLICY	BASS	bass_articulation_allowed_and_preferred	TonalProfileRow; TonalGenerationProfile.bassPolicy	tonalGenerationProfileFor	BassPitchBehaviorRequest.policy	realizeBassPitchBehavior; adaptTonalPlanToSynthPattern	accent and slide intent	CONNECTED	NONE	invalid policy/request	transaction preserves upstream synth on failure	src/generation/roles/bass_pitch_behavior.cpp::selectArticulation; src/generation/roles/bass_pitch_behavior.cpp::applyArticulation; src/generation/migration/tonal_pattern_adapter.cpp::adaptTonalPlanToSynthPattern	NONE	CONNECTED BUT EXPRESSIVELY COLLAPSED BY POLICY: all 33 rows allow PLAIN only.
TONAL_POLICY	MELODIC_SECONDARY	melodic_rhythm_operations	TonalProfileRow; TonalGenerationProfile.melodicPolicy	tonalGenerationProfileFor	MelodicPitchIntentRequest.policy	realizeMelodicPitchIntent	controlled onset/continuation transformation	CONNECTED	NONE	operation may normalize to Preserve when inapplicable	transaction preserves upstream synth on failure	src/generation/roles/melodic_pitch_intent.cpp::selectRhythmOperation; src/generation/roles/melodic_pitch_intent.cpp::applyRhythmOperation	NONE	CONNECTED BUT EXPRESSIVELY COLLAPSED BY POLICY: all 33 rows allow PRESERVE only.
TONAL_POLICY	MELODIC_SECONDARY	melodic_contour_allowed_and_preferred	TonalProfileRow; TonalGenerationProfile.melodicPolicy	tonalGenerationProfileFor	MelodicPitchIntentRequest.policy	realizeMelodicPitchIntent	melodic degree offsets	CONNECTED	NONE	invalid policy/request	transaction preserves upstream synth on failure	src/generation/roles/melodic_pitch_intent.cpp::selectContour; src/generation/roles/melodic_pitch_intent.cpp::buildContour	NONE	kStatic and kDub payloads expose single-option STATIC restrictions as recorded by C1.
TONAL_POLICY	MELODIC_SECONDARY	melodic_motif_operations	TonalProfileRow; TonalGenerationProfile.melodicPolicy	tonalGenerationProfileFor	MelodicPitchIntentRequest.policy	realizeMelodicPitchIntent	transformation of melodic degree offsets	CONNECTED	NONE	invalid policy/request	transaction preserves upstream synth on failure	src/generation/roles/melodic_pitch_intent.cpp::selectOperation; src/generation/roles/melodic_pitch_intent.cpp::applyOperation	NONE	CONNECTED BUT EXPRESSIVELY COLLAPSED BY POLICY: all 33 rows allow NONE only.
TONAL_POLICY	BASS	bass_register_corridor	TonalGenerationProfile.bassRegister	tonalGenerationProfileFor	TonalMaterializationRequest.minMidi; maxMidi; maxAdjacentLeapSemitones	materializeTonalIntent; projectTonalIntent	Synth A absolute MIDI pitches	CONNECTED	NONE	projection can fail or be empty	transaction preserves upstream synth on failure	src/generation/migration/strong_rhythm_migration.cpp::materializeRole; src/generation/tonal/tonal_materializer.cpp::materializeTonalIntent; src/generation/tonal/tonal_projector.cpp::projectTonalIntent	NONE	Forbidden pitches outside the register corridor are rejected.
TONAL_POLICY	CHORD_MELODIC	secondary_register_corridor	TonalGenerationProfile.secondaryRegister	tonalGenerationProfileFor	TonalMaterializationRequest.minMidi; maxMidi; maxAdjacentLeapSemitones	materializeTonalIntent; projectTonalIntent	Synth B absolute MIDI pitches	CONNECTED	NONE	projection can fail or be empty	transaction preserves upstream synth on failure	src/generation/migration/strong_rhythm_migration.cpp::materializeRole; src/generation/tonal/tonal_projector.cpp::projectTonalIntent	NONE	Same corridor owner is used for chord, melodic, and hybrid secondary material.
DRUM_POLICY	DRUMS	weighted_archetype_drum_grammar	rhythmCompatibilityFor; ReferenceVocabulary rhythm payload	resolveRhythmSelection; realizeRhythmPhrase	RhythmPhrasePlan; PatternMaterializerBinding	materializeRhythmPattern	physical drum pattern	CONNECTED	NONE	realization/materialization/feel may fail	Atlas/legacy drum candidate survives masked failure	src/generation/composition/rhythm_selection.cpp::rhythmCompatibilityFor; src/generation/rhythm/rhythm_realizer.cpp::realizeRhythmPhrase; src/generation/materialization/pattern_materializer.cpp::materializeRhythmPattern	v0.9.9 extends phrase/evolution execution without changing the declarative drum owner	C1F canonical drum fingerprints describe this path, not the fallback material.
HARMONIC_RHYTHM	CHORD_BASS_MELODIC	harmonic_event_timing	HarmonicRhythm	migrateStrongRhythmMaterial; projectPhraseHarmonicClock	HarmonicRhythmPlan.onsets; ChordProgressionRequest.harmonicEventCount; TonalMaterializationRequest.harmonicEventOnsets	materializeTonalIntent	progression event changes across step time	CONNECTED	NONE	invalid progression or event count fails preparation	static progressions deliberately collapse to one event	src/generation/roles/harmonic_rhythm.h::realizeHarmonicRhythm; src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/composition/phrase_harmonic_clock_projection.h::projectPhraseHarmonicClock	v0.9.9 recovers the accepted F-08 WHEN owner and separates it from ChordRhythm	Chord articulation no longer owns the harmonic clock; phrase execution projects the same one-bar owner across bars.
DEPTH_MUTATION	DRUMS	realization_level_and_mutation_budget	GroovePuterState::currentGenerationLevel; RhythmArchetype.mutation	migrationContextFor; realizeRhythmPhrase	StrongRhythmMigrationContext.level; RhythmRealizationRequest.level	rhythm realizer mutation executor	drum topology mutation within budget	CONNECTED	NONE	invalid level or unavailable attempt	no strong result on failure	src/generation/migration/quantized_generation_commit_impl.h::migrationContextFor; src/generation/rhythm/rhythm_realizer.cpp::realizeRhythmPhrase; src/generation/rhythm/rhythm_realizer_evolution.cpp::applyMutationExecutor	v0.9.9 finalizes bounded canonical diff/evolution execution	P1/P2/P3 select the archetype mutation budget for the full rhythm plan; only drum materialization consumes that plan directly.
DEPTH_MUTATION	BASS	realization_level	GroovePuterState::currentGenerationLevel	migrationContextFor	StrongRhythmMigrationContext.level	NONE in BassRhythmRequest or BassPitchBehaviorRequest	NONE	DROPPED	UNKNOWN	level is not copied into either role request	role output still varies by generation attempt/seed	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/roles/bass_rhythm.h::BassRhythmRequest; src/generation/roles/bass_pitch_behavior.h::BassPitchBehaviorRequest	v0.9.9 final request types still omit RealizationLevel	A drum/evolution consumer is not evidence for bass depth reachability.
DEPTH_MUTATION	CHORD	realization_level	GroovePuterState::currentGenerationLevel	migrationContextFor	StrongRhythmMigrationContext.level	NONE in ChordRhythmRequest or ChordProgressionRequest	NONE	DROPPED	UNKNOWN	level is not copied into either role request	role output still varies by generation attempt/seed	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/roles/chord_rhythm.h::ChordRhythmRequest; src/generation/roles/chord_progression.h::ChordProgressionRequest	v0.9.9 final request types still omit RealizationLevel	A drum/evolution consumer is not evidence for chord/progression depth reachability.
DEPTH_MUTATION	MELODIC_SECONDARY	realization_level	GroovePuterState::currentGenerationLevel	migrationContextFor	StrongRhythmMigrationContext.level	NONE in MelodicMotifRequest or MelodicPitchIntentRequest	NONE	DROPPED	UNKNOWN	level is not copied into either role request	role output still varies by generation attempt/seed	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/roles/melodic_motif.h::MelodicMotifRequest; src/generation/roles/melodic_pitch_intent.h::MelodicPitchIntentRequest	v0.9.9 final request types still omit RealizationLevel	A drum/evolution consumer is not evidence for melodic depth reachability.
FAILURE_PROPAGATION	ALL	normal_genre_strong_migration_result	migrateStrongRhythmMaterial caller contract	migrateStrongRhythmMaterial	StrongRhythmMigrationResult.status	preparePlayingCandidate	candidate publication	FAILURE_MASKED	UNKNOWN	caller discards non-Applied status and returns only target liveness	pre-call Atlas/legacy/current material survives transaction	src/generation/migration/quantized_generation_commit_impl.h::preparePlayingCandidate; src/generation/migration/quantized_generation_undo_owner_impl.h::regenerateWithQuantizedCommit	v0.9.9 public generation still uses the void migration call inside preparePlayingCandidate	Confirmed Gate-B trust blocker for normal Genre full generation; migration itself is transactional, caller handling is not fail-closed.
FAILURE_PROPAGATION	ALL	phrase_p1r_migration_result	PreparedPhraseExecution contract	preparePhraseExecution; GeneratedPhraseP1R::prepare	PhraseExecutionStatus; StrongRhythmMigrationResult.status	semantic preflight; materializePreparedPhraseBar	phrase rejection before persistent commit	CONNECTED	NONE	any selection/projection/materialization failure rejects preparation	no legacy fallback after a P1R-capable route is selected	src/generation/migration/phrase_execution.cpp::preparePhraseExecution; src/dsp/generated_phrase_p1r_materializer.h::prepare; src/dsp/generated_phrase_song.h::prepareWithGenerationAttempt	NEW_IN_V0.9.9	The final PHRASE path validates all bars before commit and does not publish failed strong materialization.
FAILURE_PROPAGATION	ALL	upstream_material_fallback	AtlasRuntime; GenreCatalog; existing Scene material	preparePlayingCandidate; MiniAcid::regeneratePatternsWithGenre	candidate synth/drums before strong migration	quantized commit for normal Genre generation	upstream material reaches execution on masked failure	LEGACY_FALLBACK	UNKNOWN	strong migration failure leaves destination unchanged	Atlas recipe, legacy generator, or previously captured Scene material	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/migration/quantized_generation_commit_impl.h::preparePlayingCandidate	v0.9.9 P1R-capable PHRASE preparation rejects instead of falling back	Fallback remains possible for normal Genre generation only; the final PHRASE path is not contaminated by this fallback.
